theta_2=0.025000	MC: 377.877522	Data: 358.999992
theta_2=0.075000	MC: 287.627461	Data: 281.999994
theta_2=0.125000	MC: 181.994589	Data: 169.000006
theta_2=0.175000	MC: 138.917109	Data: 129.000000
theta_2=0.225000	MC: 98.533418	Data: 110.999998
theta_2=0.275000	MC: 83.805091	Data: 94.999998
theta_2=0.325000	MC: 63.501653	Data: 58.000002
theta_2=0.375000	MC: 54.958351	Data: 52.000000
theta_2=0.425000	MC: 50.639122	Data: 44.000000
theta_2=0.475000	MC: 44.987396	Data: 59.999998
theta_2=0.525000	MC: 38.592671	Data: 26.000001
theta_2=0.575000	MC: 35.825452	Data: 33.000001
theta_2=0.625000	MC: 37.845115	Data: 48.000000
theta_2=0.675000	MC: 30.855790	Data: 31.000001
theta_2=0.725000	MC: 29.627119	Data: 34.000001
theta_2=0.775000	MC: 25.223614	Data: 24.000001
theta_2=0.825000	MC: 29.814055	Data: 32.000000
theta_2=0.875000	MC: 24.399437	Data: 28.999999
theta_2=0.925000	MC: 24.580592	Data: 24.999999
theta_2=0.975000	MC: 23.731924	Data: 28.000000
