theta_2=0.025000	MC: 30.792638	Data: 29.000000
theta_2=0.075000	MC: 6.149143	Data: 9.000000
theta_2=0.125000	MC: 1.740769	Data: 6.000000
theta_2=0.175000	MC: 0.720423	Data: 1.000000
theta_2=0.225000	MC: 0.309973	Data: 1.000000
theta_2=0.275000	MC: 0.371210	Data: 0.000000
theta_2=0.325000	MC: 0.096036	Data: 0.000000
theta_2=0.375000	MC: 0.264412	Data: 1.000000
theta_2=0.425000	MC: 0.333432	Data: 2.000000
theta_2=0.475000	MC: 0.151797	Data: 0.000000
theta_2=0.525000	MC: 0.401069	Data: 0.000000
theta_2=0.575000	MC: 0.213026	Data: 1.000000
theta_2=0.625000	MC: 0.394065	Data: 0.000000
theta_2=0.675000	MC: 0.208035	Data: 1.000000
theta_2=0.725000	MC: 0.198708	Data: 0.000000
theta_2=0.775000	MC: 0.194775	Data: 0.000000
theta_2=0.825000	MC: 0.017442	Data: 0.000000
theta_2=0.875000	MC: 0.380662	Data: 0.000000
theta_2=0.925000	MC: 0.192810	Data: 0.000000
theta_2=0.975000	MC: 0.100166	Data: 0.000000
