theta_2=0.025000	MC: 64.708283	Data: 61.000000
theta_2=0.075000	MC: 20.569818	Data: 22.000001
theta_2=0.125000	MC: 7.249532	Data: 10.000000
theta_2=0.175000	MC: 3.186170	Data: 6.000000
theta_2=0.225000	MC: 2.102645	Data: 3.000000
theta_2=0.275000	MC: 1.510456	Data: 4.000000
theta_2=0.325000	MC: 0.734920	Data: 1.000000
theta_2=0.375000	MC: 0.713298	Data: 0.000000
theta_2=0.425000	MC: 0.902348	Data: 0.000000
theta_2=0.475000	MC: 0.184906	Data: 1.000000
theta_2=0.525000	MC: 0.669014	Data: 1.000000
theta_2=0.575000	MC: 0.367463	Data: 0.000000
theta_2=0.625000	MC: 0.573562	Data: 0.000000
theta_2=0.675000	MC: 0.264816	Data: 0.000000
theta_2=0.725000	MC: 0.261411	Data: 0.000000
theta_2=0.775000	MC: 0.501959	Data: 0.000000
theta_2=0.825000	MC: 0.316906	Data: 0.000000
theta_2=0.875000	MC: 0.323981	Data: 1.000000
theta_2=0.925000	MC: 0.215873	Data: 1.000000
theta_2=0.975000	MC: 0.303379	Data: 1.000000
