theta_2=0.025000	MC: 5.532762	Data: 4.000000
theta_2=0.075000	MC: 0.416315	Data: 1.000000
theta_2=0.125000	MC: 0.108019	Data: 0.000000
theta_2=0.175000	MC: 0.054175	Data: 0.000000
theta_2=0.225000	MC: 0.037937	Data: 0.000000
theta_2=0.275000	MC: 0.027088	Data: 0.000000
theta_2=0.325000	MC: 0.018971	Data: 0.000000
theta_2=0.375000	MC: 0.016084	Data: 0.000000
theta_2=0.425000	MC: 0.016274	Data: 0.000000
theta_2=0.475000	MC: 0.011720	Data: 0.000000
theta_2=0.525000	MC: 0.006230	Data: 0.000000
theta_2=0.575000	MC: 0.004617	Data: 0.000000
theta_2=0.625000	MC: 0.011537	Data: 0.000000
theta_2=0.675000	MC: 0.006533	Data: 0.000000
theta_2=0.725000	MC: 0.003469	Data: 0.000000
theta_2=0.775000	MC: 0.003733	Data: 1.000000
theta_2=0.825000	MC: 0.004485	Data: 0.000000
theta_2=0.875000	MC: 0.004326	Data: 0.000000
theta_2=0.925000	MC: 0.001060	Data: 0.000000
theta_2=0.975000	MC: 0.003972	Data: 0.000000
