theta_2=0.010000	MC_ns: 67.351867	MC: 67.442776	Data: 64.999997
theta_2=0.030000	MC_ns: 47.515665	MC: 47.879302	Data: 37.000000
theta_2=0.050000	MC_ns: 28.682987	MC: 29.046623	Data: 51.000000
theta_2=0.070000	MC_ns: 23.834469	MC: 24.379923	Data: 18.000001
theta_2=0.090000	MC_ns: 18.749915	MC: 19.568097	Data: 20.000000
theta_2=0.110000	MC_ns: 10.781877	MC: 11.145514	Data: 13.000000
theta_2=0.130000	MC_ns: 5.974564	MC: 6.610928	Data: 11.000000
theta_2=0.150000	MC_ns: 7.028113	MC: 7.391750	Data: 6.000000
theta_2=0.170000	MC_ns: 3.825577	MC: 4.552850	Data: 2.000000
theta_2=0.190000	MC_ns: 4.662210	MC: 5.753119	Data: 7.000000
theta_2=0.210000	MC_ns: 2.428218	MC: 2.610036	Data: 5.000000
theta_2=0.230000	MC_ns: 1.845859	MC: 2.754950	Data: 3.000000
theta_2=0.250000	MC_ns: 1.720734	MC: 2.448007	Data: 3.000000
theta_2=0.270000	MC_ns: 1.362775	MC: 1.999138	Data: 3.000000
theta_2=0.290000	MC_ns: 1.069756	MC: 1.797029	Data: 3.000000
theta_2=0.310000	MC_ns: 0.911865	MC: 1.639137	Data: 3.000000
theta_2=0.330000	MC_ns: 0.398953	MC: 1.217135	Data: 5.000000
theta_2=0.350000	MC_ns: 0.703914	MC: 1.158459	Data: 1.000000
theta_2=0.370000	MC_ns: 0.561634	MC: 1.016179	Data: 1.000000
theta_2=0.390000	MC_ns: 0.204792	MC: 0.932065	Data: 2.000000
theta_2=0.410000	MC_ns: 0.392681	MC: 1.119954	Data: 1.000000
theta_2=0.430000	MC_ns: 0.168321	MC: 0.713776	Data: 2.000000
theta_2=0.450000	MC_ns: 0.349293	MC: 0.894747	Data: 0.000000
theta_2=0.470000	MC_ns: 0.137080	MC: 0.591625	Data: 1.000000
theta_2=0.490000	MC_ns: 0.244176	MC: 0.971448	Data: 0.000000
theta_2=0.510000	MC_ns: 0.105690	MC: 0.742053	Data: 2.000000
theta_2=0.530000	MC_ns: 0.087771	MC: 0.633225	Data: 0.000000
theta_2=0.550000	MC_ns: 0.180565	MC: 0.816929	Data: 1.000000
theta_2=0.570000	MC_ns: 0.067550	MC: 0.703914	Data: 1.000000
theta_2=0.590000	MC_ns: 0.076482	MC: 1.531028	Data: 1.000000
theta_2=0.610000	MC_ns: 0.111937	MC: 0.930118	Data: 0.000000
theta_2=0.630000	MC_ns: 0.053984	MC: 0.417620	Data: 0.000000
theta_2=0.650000	MC_ns: 0.056168	MC: 0.692532	Data: 2.000000
theta_2=0.670000	MC_ns: 0.067312	MC: 0.794585	Data: 2.000000
theta_2=0.690000	MC_ns: 0.096112	MC: 0.368839	Data: 0.000000
theta_2=0.710000	MC_ns: 0.036554	MC: 0.036554	Data: 1.000000
theta_2=0.730000	MC_ns: 0.036775	MC: 0.582229	Data: 0.000000
theta_2=0.750000	MC_ns: 0.047260	MC: 0.592714	Data: 0.000000
theta_2=0.770000	MC_ns: 0.038080	MC: 0.765352	Data: 2.000000
theta_2=0.790000	MC_ns: 0.046820	MC: 0.683183	Data: 1.000000
theta_2=0.810000	MC_ns: 0.073603	MC: 0.891785	Data: 1.000000
theta_2=0.830000	MC_ns: 0.024473	MC: 0.479018	Data: 0.000000
theta_2=0.850000	MC_ns: 0.034266	MC: 0.579721	Data: 0.000000
theta_2=0.870000	MC_ns: 0.027309	MC: 0.572763	Data: 1.000000
theta_2=0.890000	MC_ns: 0.037920	MC: 1.219738	Data: 0.000000
theta_2=0.910000	MC_ns: 0.030653	MC: 0.757926	Data: 2.000000
theta_2=0.930000	MC_ns: 0.032037	MC: 0.395673	Data: 3.000000
theta_2=0.950000	MC_ns: 0.034374	MC: 0.852556	Data: 0.000000
theta_2=0.970000	MC_ns: 0.038474	MC: 0.583928	Data: 1.000000
theta_2=0.990000	MC_ns: 0.029287	MC: 0.665651	Data: 2.000000
