theta_2=0.010000	MC_ns: 8.676104	MC: 8.676104	Data: 6.000000
theta_2=0.030000	MC_ns: 3.288364	MC: 3.288364	Data: 3.000000
theta_2=0.050000	MC_ns: 1.224670	MC: 1.406488	Data: 2.000000
theta_2=0.070000	MC_ns: 0.681591	MC: 0.863409	Data: 0.000000
theta_2=0.090000	MC_ns: 0.387975	MC: 0.387975	Data: 0.000000
theta_2=0.110000	MC_ns: 0.173065	MC: 0.263974	Data: 0.000000
theta_2=0.130000	MC_ns: 0.105380	MC: 0.105380	Data: 0.000000
theta_2=0.150000	MC_ns: 0.104449	MC: 0.104449	Data: 0.000000
theta_2=0.170000	MC_ns: 0.059078	MC: 0.059078	Data: 0.000000
theta_2=0.190000	MC_ns: 0.070335	MC: 0.070335	Data: 1.000000
theta_2=0.210000	MC_ns: 0.038989	MC: 0.129898	Data: 0.000000
theta_2=0.230000	MC_ns: 0.034172	MC: 0.034172	Data: 0.000000
theta_2=0.250000	MC_ns: 0.025293	MC: 0.116202	Data: 0.000000
theta_2=0.270000	MC_ns: 0.024175	MC: 0.024175	Data: 0.000000
theta_2=0.290000	MC_ns: 0.023467	MC: 0.114376	Data: 0.000000
theta_2=0.310000	MC_ns: 0.022745	MC: 0.022745	Data: 0.000000
theta_2=0.330000	MC_ns: 0.009026	MC: 0.009026	Data: 0.000000
theta_2=0.350000	MC_ns: 0.015774	MC: 0.015774	Data: 0.000000
theta_2=0.370000	MC_ns: 0.017055	MC: 0.107964	Data: 0.000000
theta_2=0.390000	MC_ns: 0.005895	MC: 0.005895	Data: 0.000000
theta_2=0.410000	MC_ns: 0.015909	MC: 0.015909	Data: 0.000000
theta_2=0.430000	MC_ns: 0.008865	MC: 0.008865	Data: 0.000000
theta_2=0.450000	MC_ns: 0.015575	MC: 0.015575	Data: 0.000000
theta_2=0.470000	MC_ns: 0.011376	MC: 0.011376	Data: 0.000000
theta_2=0.490000	MC_ns: 0.013882	MC: 0.104791	Data: 0.000000
theta_2=0.510000	MC_ns: 0.007222	MC: 0.007222	Data: 0.000000
theta_2=0.530000	MC_ns: 0.006753	MC: 0.279480	Data: 0.000000
theta_2=0.550000	MC_ns: 0.015058	MC: 0.105967	Data: 0.000000
theta_2=0.570000	MC_ns: 0.005209	MC: 0.005209	Data: 0.000000
theta_2=0.590000	MC_ns: 0.007491	MC: 0.007491	Data: 0.000000
theta_2=0.610000	MC_ns: 0.012125	MC: 0.012125	Data: 0.000000
theta_2=0.630000	MC_ns: 0.005252	MC: 0.096161	Data: 0.000000
theta_2=0.650000	MC_ns: 0.006165	MC: 0.006165	Data: 0.000000
theta_2=0.670000	MC_ns: 0.005096	MC: 0.005096	Data: 0.000000
theta_2=0.690000	MC_ns: 0.010340	MC: 0.010340	Data: 0.000000
theta_2=0.710000	MC_ns: 0.005406	MC: 0.005406	Data: 0.000000
theta_2=0.730000	MC_ns: 0.006660	MC: 0.006660	Data: 0.000000
theta_2=0.750000	MC_ns: 0.003963	MC: 0.003963	Data: 0.000000
theta_2=0.770000	MC_ns: 0.004164	MC: 0.004164	Data: 0.000000
theta_2=0.790000	MC_ns: 0.002481	MC: 0.002481	Data: 0.000000
theta_2=0.810000	MC_ns: 0.008911	MC: 0.008911	Data: 0.000000
theta_2=0.830000	MC_ns: 0.006581	MC: 0.006581	Data: 0.000000
theta_2=0.850000	MC_ns: 0.003681	MC: 0.003681	Data: 0.000000
theta_2=0.870000	MC_ns: 0.001788	MC: 0.001788	Data: 0.000000
theta_2=0.890000	MC_ns: 0.003402	MC: 0.003402	Data: 0.000000
theta_2=0.910000	MC_ns: 0.002879	MC: 0.002879	Data: 0.000000
theta_2=0.930000	MC_ns: 0.002173	MC: 0.002173	Data: 1.000000
theta_2=0.950000	MC_ns: 0.002364	MC: 0.002364	Data: 0.000000
theta_2=0.970000	MC_ns: 0.001876	MC: 0.001876	Data: 0.000000
theta_2=0.990000	MC_ns: 0.002272	MC: 0.002272	Data: 0.000000
