theta_2=0.010000	MC_ns: 0.690017	MC: 0.690017	Data: 6.000000
theta_2=0.030000	MC_ns: 0.099430	MC: 0.099430	Data: 3.000000
theta_2=0.050000	MC_ns: 0.024453	MC: 0.206271	Data: 2.000000
theta_2=0.070000	MC_ns: 0.010106	MC: 0.191924	Data: 0.000000
theta_2=0.090000	MC_ns: 0.008703	MC: 0.008703	Data: 0.000000
theta_2=0.110000	MC_ns: 0.006241	MC: 0.097150	Data: 0.000000
theta_2=0.130000	MC_ns: 0.002397	MC: 0.002397	Data: 0.000000
theta_2=0.150000	MC_ns: 0.002853	MC: 0.002853	Data: 0.000000
theta_2=0.170000	MC_ns: 0.002161	MC: 0.002161	Data: 0.000000
theta_2=0.190000	MC_ns: 0.002484	MC: 0.002484	Data: 1.000000
theta_2=0.210000	MC_ns: 0.001491	MC: 0.092400	Data: 0.000000
theta_2=0.230000	MC_ns: 0.001577	MC: 0.001577	Data: 0.000000
theta_2=0.250000	MC_ns: 0.001068	MC: 0.091977	Data: 0.000000
theta_2=0.270000	MC_ns: 0.000934	MC: 0.000934	Data: 0.000000
theta_2=0.290000	MC_ns: 0.001057	MC: 0.091966	Data: 0.000000
theta_2=0.310000	MC_ns: 0.001527	MC: 0.001527	Data: 0.000000
theta_2=0.330000	MC_ns: 0.000689	MC: 0.000689	Data: 0.000000
theta_2=0.350000	MC_ns: 0.000868	MC: 0.000868	Data: 0.000000
theta_2=0.370000	MC_ns: 0.001434	MC: 0.092343	Data: 0.000000
theta_2=0.390000	MC_ns: 0.000194	MC: 0.000194	Data: 0.000000
theta_2=0.410000	MC_ns: 0.000545	MC: 0.000545	Data: 0.000000
theta_2=0.430000	MC_ns: 0.000322	MC: 0.000322	Data: 0.000000
theta_2=0.450000	MC_ns: 0.000624	MC: 0.000624	Data: 0.000000
theta_2=0.470000	MC_ns: 0.000474	MC: 0.000474	Data: 0.000000
theta_2=0.490000	MC_ns: 0.000794	MC: 0.091703	Data: 0.000000
theta_2=0.510000	MC_ns: 0.000199	MC: 0.000199	Data: 0.000000
theta_2=0.530000	MC_ns: 0.000283	MC: 0.273011	Data: 0.000000
theta_2=0.550000	MC_ns: 0.000728	MC: 0.091637	Data: 0.000000
theta_2=0.570000	MC_ns: 0.000219	MC: 0.000219	Data: 0.000000
theta_2=0.590000	MC_ns: 0.000247	MC: 0.000247	Data: 0.000000
theta_2=0.610000	MC_ns: 0.000721	MC: 0.000721	Data: 0.000000
theta_2=0.630000	MC_ns: 0.000348	MC: 0.091257	Data: 0.000000
theta_2=0.650000	MC_ns: 0.000332	MC: 0.000332	Data: 0.000000
theta_2=0.670000	MC_ns: 0.000944	MC: 0.000944	Data: 0.000000
theta_2=0.690000	MC_ns: 0.000152	MC: 0.000152	Data: 0.000000
theta_2=0.710000	MC_ns: 0.000104	MC: 0.000104	Data: 0.000000
theta_2=0.730000	MC_ns: 0.000188	MC: 0.000188	Data: 0.000000
theta_2=0.750000	MC_ns: 0.000128	MC: 0.000128	Data: 0.000000
theta_2=0.770000	MC_ns: 0.000078	MC: 0.000078	Data: 0.000000
theta_2=0.790000	MC_ns: 0.000172	MC: 0.000172	Data: 0.000000
theta_2=0.810000	MC_ns: 0.000077	MC: 0.000077	Data: 0.000000
theta_2=0.830000	MC_ns: 0.000040	MC: 0.000040	Data: 0.000000
theta_2=0.850000	MC_ns: 0.000093	MC: 0.000093	Data: 0.000000
theta_2=0.870000	MC_ns: 0.000057	MC: 0.000057	Data: 0.000000
theta_2=0.890000	MC_ns: 0.000267	MC: 0.000267	Data: 0.000000
theta_2=0.910000	MC_ns: 0.000043	MC: 0.000043	Data: 0.000000
theta_2=0.930000	MC_ns: 0.000011	MC: 0.000011	Data: 1.000000
theta_2=0.950000	MC_ns: 0.000000	MC: 0.000000	Data: 0.000000
theta_2=0.970000	MC_ns: 0.000067	MC: 0.000067	Data: 0.000000
theta_2=0.990000	MC_ns: 0.000011	MC: 0.000011	Data: 0.000000
