theta_2=0.010000	MC_ns: 33.568465	MC: 33.750283	Data: 30.000000
theta_2=0.030000	MC_ns: 19.937457	MC: 20.028366	Data: 21.999999
theta_2=0.050000	MC_ns: 10.492516	MC: 10.583425	Data: 16.000000
theta_2=0.070000	MC_ns: 7.625802	MC: 7.898529	Data: 11.000000
theta_2=0.090000	MC_ns: 5.169680	MC: 5.442407	Data: 4.000000
theta_2=0.110000	MC_ns: 2.736620	MC: 3.009347	Data: 6.000000
theta_2=0.130000	MC_ns: 1.403988	MC: 1.767624	Data: 2.000000
theta_2=0.150000	MC_ns: 1.597635	MC: 1.779454	Data: 3.000000
theta_2=0.170000	MC_ns: 0.775917	MC: 0.866826	Data: 4.000000
theta_2=0.190000	MC_ns: 0.947841	MC: 1.129659	Data: 1.000000
theta_2=0.210000	MC_ns: 0.512484	MC: 0.785211	Data: 2.000000
theta_2=0.230000	MC_ns: 0.377776	MC: 0.559594	Data: 1.000000
theta_2=0.250000	MC_ns: 0.273405	MC: 0.637041	Data: 1.000000
theta_2=0.270000	MC_ns: 0.241910	MC: 0.514637	Data: 1.000000
theta_2=0.290000	MC_ns: 0.194377	MC: 0.376195	Data: 2.000000
theta_2=0.310000	MC_ns: 0.145680	MC: 0.145680	Data: 1.000000
theta_2=0.330000	MC_ns: 0.066720	MC: 0.248538	Data: 0.000000
theta_2=0.350000	MC_ns: 0.125850	MC: 0.307668	Data: 0.000000
theta_2=0.370000	MC_ns: 0.090938	MC: 0.181847	Data: 0.000000
theta_2=0.390000	MC_ns: 0.042295	MC: 0.224113	Data: 0.000000
theta_2=0.410000	MC_ns: 0.083328	MC: 0.446964	Data: 0.000000
theta_2=0.430000	MC_ns: 0.035089	MC: 0.307816	Data: 0.000000
theta_2=0.450000	MC_ns: 0.044644	MC: 0.044644	Data: 0.000000
theta_2=0.470000	MC_ns: 0.032917	MC: 0.032917	Data: 0.000000
theta_2=0.490000	MC_ns: 0.052866	MC: 0.052866	Data: 1.000000
theta_2=0.510000	MC_ns: 0.023412	MC: 0.205231	Data: 1.000000
theta_2=0.530000	MC_ns: 0.023075	MC: 0.386712	Data: 0.000000
theta_2=0.550000	MC_ns: 0.028710	MC: 0.028710	Data: 0.000000
theta_2=0.570000	MC_ns: 0.014638	MC: 0.196456	Data: 0.000000
theta_2=0.590000	MC_ns: 0.016978	MC: 0.107887	Data: 0.000000
theta_2=0.610000	MC_ns: 0.031872	MC: 0.122781	Data: 0.000000
theta_2=0.630000	MC_ns: 0.016125	MC: 0.379762	Data: 0.000000
theta_2=0.650000	MC_ns: 0.016056	MC: 0.016056	Data: 0.000000
theta_2=0.670000	MC_ns: 0.017285	MC: 0.199104	Data: 0.000000
theta_2=0.690000	MC_ns: 0.030261	MC: 0.030261	Data: 0.000000
theta_2=0.710000	MC_ns: 0.021715	MC: 0.021715	Data: 0.000000
theta_2=0.730000	MC_ns: 0.016080	MC: 0.197899	Data: 0.000000
theta_2=0.750000	MC_ns: 0.013816	MC: 0.104725	Data: 0.000000
theta_2=0.770000	MC_ns: 0.009188	MC: 0.009188	Data: 0.000000
theta_2=0.790000	MC_ns: 0.019533	MC: 0.383169	Data: 0.000000
theta_2=0.810000	MC_ns: 0.013660	MC: 0.104569	Data: 0.000000
theta_2=0.830000	MC_ns: 0.011141	MC: 0.102050	Data: 0.000000
theta_2=0.850000	MC_ns: 0.010365	MC: 0.283092	Data: 1.000000
theta_2=0.870000	MC_ns: 0.015215	MC: 0.015215	Data: 0.000000
theta_2=0.890000	MC_ns: 0.010904	MC: 0.101813	Data: 0.000000
theta_2=0.910000	MC_ns: 0.008977	MC: 0.099886	Data: 1.000000
theta_2=0.930000	MC_ns: 0.017664	MC: 0.108574	Data: 0.000000
theta_2=0.950000	MC_ns: 0.008869	MC: 0.099778	Data: 0.000000
theta_2=0.970000	MC_ns: 0.006190	MC: 0.097099	Data: 1.000000
theta_2=0.990000	MC_ns: 0.005864	MC: 0.096774	Data: 0.000000
