theta_2=0.010000	MC_ns: 1.685082	MC: 1.685082	Data: 6.000000
theta_2=0.030000	MC_ns: 0.338977	MC: 0.338977	Data: 3.000000
theta_2=0.050000	MC_ns: 0.091181	MC: 0.272999	Data: 2.000000
theta_2=0.070000	MC_ns: 0.051447	MC: 0.233265	Data: 0.000000
theta_2=0.090000	MC_ns: 0.024647	MC: 0.024647	Data: 0.000000
theta_2=0.110000	MC_ns: 0.014462	MC: 0.105372	Data: 0.000000
theta_2=0.130000	MC_ns: 0.007587	MC: 0.007587	Data: 0.000000
theta_2=0.150000	MC_ns: 0.008166	MC: 0.008166	Data: 0.000000
theta_2=0.170000	MC_ns: 0.006381	MC: 0.006381	Data: 0.000000
theta_2=0.190000	MC_ns: 0.008201	MC: 0.008201	Data: 1.000000
theta_2=0.210000	MC_ns: 0.003626	MC: 0.094535	Data: 0.000000
theta_2=0.230000	MC_ns: 0.004435	MC: 0.004435	Data: 0.000000
theta_2=0.250000	MC_ns: 0.005099	MC: 0.096008	Data: 0.000000
theta_2=0.270000	MC_ns: 0.003878	MC: 0.003878	Data: 0.000000
theta_2=0.290000	MC_ns: 0.003491	MC: 0.094400	Data: 0.000000
theta_2=0.310000	MC_ns: 0.002690	MC: 0.002690	Data: 0.000000
theta_2=0.330000	MC_ns: 0.001374	MC: 0.001374	Data: 0.000000
theta_2=0.350000	MC_ns: 0.001928	MC: 0.001928	Data: 0.000000
theta_2=0.370000	MC_ns: 0.001910	MC: 0.092819	Data: 0.000000
theta_2=0.390000	MC_ns: 0.002145	MC: 0.002145	Data: 0.000000
theta_2=0.410000	MC_ns: 0.003360	MC: 0.003360	Data: 0.000000
theta_2=0.430000	MC_ns: 0.001199	MC: 0.001199	Data: 0.000000
theta_2=0.450000	MC_ns: 0.001470	MC: 0.001470	Data: 0.000000
theta_2=0.470000	MC_ns: 0.001374	MC: 0.001374	Data: 0.000000
theta_2=0.490000	MC_ns: 0.001958	MC: 0.092867	Data: 0.000000
theta_2=0.510000	MC_ns: 0.001387	MC: 0.001387	Data: 0.000000
theta_2=0.530000	MC_ns: 0.000526	MC: 0.273253	Data: 0.000000
theta_2=0.550000	MC_ns: 0.001486	MC: 0.092395	Data: 0.000000
theta_2=0.570000	MC_ns: 0.000943	MC: 0.000943	Data: 0.000000
theta_2=0.590000	MC_ns: 0.000277	MC: 0.000277	Data: 0.000000
theta_2=0.610000	MC_ns: 0.000992	MC: 0.000992	Data: 0.000000
theta_2=0.630000	MC_ns: 0.000386	MC: 0.091295	Data: 0.000000
theta_2=0.650000	MC_ns: 0.000662	MC: 0.000662	Data: 0.000000
theta_2=0.670000	MC_ns: 0.000557	MC: 0.000557	Data: 0.000000
theta_2=0.690000	MC_ns: 0.001060	MC: 0.001060	Data: 0.000000
theta_2=0.710000	MC_ns: 0.000330	MC: 0.000330	Data: 0.000000
theta_2=0.730000	MC_ns: 0.000402	MC: 0.000402	Data: 0.000000
theta_2=0.750000	MC_ns: 0.000416	MC: 0.000416	Data: 0.000000
theta_2=0.770000	MC_ns: 0.000662	MC: 0.000662	Data: 0.000000
theta_2=0.790000	MC_ns: 0.000310	MC: 0.000310	Data: 0.000000
theta_2=0.810000	MC_ns: 0.000893	MC: 0.000893	Data: 0.000000
theta_2=0.830000	MC_ns: 0.000247	MC: 0.000247	Data: 0.000000
theta_2=0.850000	MC_ns: 0.000434	MC: 0.000434	Data: 0.000000
theta_2=0.870000	MC_ns: 0.000805	MC: 0.000805	Data: 0.000000
theta_2=0.890000	MC_ns: 0.000107	MC: 0.000107	Data: 0.000000
theta_2=0.910000	MC_ns: 0.000126	MC: 0.000126	Data: 0.000000
theta_2=0.930000	MC_ns: 0.000200	MC: 0.000200	Data: 1.000000
theta_2=0.950000	MC_ns: 0.000439	MC: 0.000439	Data: 0.000000
theta_2=0.970000	MC_ns: 0.000341	MC: 0.000341	Data: 0.000000
theta_2=0.990000	MC_ns: 0.000273	MC: 0.000273	Data: 0.000000
