theta_2=0.010000	MC_ns: 155.280755	MC: 162.462573	Data: 146.999994
theta_2=0.030000	MC_ns: 132.360034	MC: 140.723670	Data: 147.000004
theta_2=0.050000	MC_ns: 97.112971	MC: 105.658426	Data: 134.999999
theta_2=0.070000	MC_ns: 97.297605	MC: 105.843060	Data: 109.999999
theta_2=0.090000	MC_ns: 91.434258	MC: 99.252439	Data: 101.999998
theta_2=0.110000	MC_ns: 62.771998	MC: 71.044725	Data: 72.999999
theta_2=0.130000	MC_ns: 38.169818	MC: 45.078909	Data: 58.999999
theta_2=0.150000	MC_ns: 52.481231	MC: 59.481231	Data: 67.000000
theta_2=0.170000	MC_ns: 32.371992	MC: 41.917447	Data: 52.999999
theta_2=0.190000	MC_ns: 43.454949	MC: 52.818585	Data: 46.000000
theta_2=0.210000	MC_ns: 26.207660	MC: 33.298569	Data: 50.000001
theta_2=0.230000	MC_ns: 23.150990	MC: 31.423717	Data: 42.999999
theta_2=0.250000	MC_ns: 20.784927	MC: 27.148564	Data: 32.000000
theta_2=0.270000	MC_ns: 18.867002	MC: 27.321547	Data: 36.999999
theta_2=0.290000	MC_ns: 15.774426	MC: 22.683517	Data: 43.999999
theta_2=0.310000	MC_ns: 14.864041	MC: 22.773132	Data: 26.000001
theta_2=0.330000	MC_ns: 6.713351	MC: 14.440623	Data: 20.000000
theta_2=0.350000	MC_ns: 11.743732	MC: 21.471005	Data: 22.000000
theta_2=0.370000	MC_ns: 10.758242	MC: 18.303697	Data: 20.000000
theta_2=0.390000	MC_ns: 4.618003	MC: 12.436185	Data: 22.000000
theta_2=0.410000	MC_ns: 9.091076	MC: 17.272894	Data: 23.000000
theta_2=0.430000	MC_ns: 3.928308	MC: 11.564672	Data: 14.000000
theta_2=0.450000	MC_ns: 7.084978	MC: 16.175887	Data: 25.999999
theta_2=0.470000	MC_ns: 3.149281	MC: 11.967463	Data: 23.000000
theta_2=0.490000	MC_ns: 5.772998	MC: 13.682089	Data: 18.000000
theta_2=0.510000	MC_ns: 2.412839	MC: 14.231021	Data: 9.000000
theta_2=0.530000	MC_ns: 2.343775	MC: 10.161957	Data: 9.000000
theta_2=0.550000	MC_ns: 4.459659	MC: 12.641477	Data: 15.000000
theta_2=0.570000	MC_ns: 1.926554	MC: 10.472009	Data: 16.000000
theta_2=0.590000	MC_ns: 1.755523	MC: 10.573705	Data: 10.000000
theta_2=0.610000	MC_ns: 3.430726	MC: 11.067090	Data: 23.000000
theta_2=0.630000	MC_ns: 1.650139	MC: 10.559230	Data: 14.000000
theta_2=0.650000	MC_ns: 1.394952	MC: 12.304043	Data: 18.000000
theta_2=0.670000	MC_ns: 1.281735	MC: 9.463553	Data: 11.000000
theta_2=0.690000	MC_ns: 2.188194	MC: 10.188194	Data: 13.000000
theta_2=0.710000	MC_ns: 1.105670	MC: 9.560215	Data: 13.000000
theta_2=0.730000	MC_ns: 0.789424	MC: 9.243969	Data: 15.000000
theta_2=0.750000	MC_ns: 0.927512	MC: 8.472967	Data: 13.000000
theta_2=0.770000	MC_ns: 0.828601	MC: 10.646783	Data: 6.000000
theta_2=0.790000	MC_ns: 0.729851	MC: 8.002579	Data: 11.000000
theta_2=0.810000	MC_ns: 1.464230	MC: 10.736957	Data: 13.000000
theta_2=0.830000	MC_ns: 0.672470	MC: 9.763379	Data: 10.000000
theta_2=0.850000	MC_ns: 0.597212	MC: 8.142667	Data: 15.000000
theta_2=0.870000	MC_ns: 0.388881	MC: 9.297972	Data: 11.000000
theta_2=0.890000	MC_ns: 0.524017	MC: 7.251290	Data: 12.000000
theta_2=0.910000	MC_ns: 0.472998	MC: 8.836634	Data: 7.000000
theta_2=0.930000	MC_ns: 0.463648	MC: 9.463648	Data: 10.000000
theta_2=0.950000	MC_ns: 0.391751	MC: 8.028114	Data: 16.000000
theta_2=0.970000	MC_ns: 0.457135	MC: 8.638953	Data: 11.000000
theta_2=0.990000	MC_ns: 0.333494	MC: 6.878948	Data: 9.000000
