theta_2=0.010000	MC_ns: 3.930896	MC: 3.930896	Data: 6.000000
theta_2=0.030000	MC_ns: 1.080797	MC: 1.080797	Data: 3.000000
theta_2=0.050000	MC_ns: 0.323028	MC: 0.504846	Data: 2.000000
theta_2=0.070000	MC_ns: 0.168492	MC: 0.350310	Data: 0.000000
theta_2=0.090000	MC_ns: 0.090871	MC: 0.090871	Data: 0.000000
theta_2=0.110000	MC_ns: 0.055230	MC: 0.146140	Data: 0.000000
theta_2=0.130000	MC_ns: 0.024184	MC: 0.024184	Data: 0.000000
theta_2=0.150000	MC_ns: 0.031320	MC: 0.031320	Data: 0.000000
theta_2=0.170000	MC_ns: 0.017415	MC: 0.017415	Data: 0.000000
theta_2=0.190000	MC_ns: 0.024223	MC: 0.024223	Data: 1.000000
theta_2=0.210000	MC_ns: 0.016173	MC: 0.107082	Data: 0.000000
theta_2=0.230000	MC_ns: 0.011991	MC: 0.011991	Data: 0.000000
theta_2=0.250000	MC_ns: 0.012017	MC: 0.102926	Data: 0.000000
theta_2=0.270000	MC_ns: 0.011743	MC: 0.011743	Data: 0.000000
theta_2=0.290000	MC_ns: 0.009139	MC: 0.100048	Data: 0.000000
theta_2=0.310000	MC_ns: 0.010548	MC: 0.010548	Data: 0.000000
theta_2=0.330000	MC_ns: 0.003339	MC: 0.003339	Data: 0.000000
theta_2=0.350000	MC_ns: 0.007282	MC: 0.007282	Data: 0.000000
theta_2=0.370000	MC_ns: 0.006930	MC: 0.097839	Data: 0.000000
theta_2=0.390000	MC_ns: 0.004833	MC: 0.004833	Data: 0.000000
theta_2=0.410000	MC_ns: 0.009719	MC: 0.009719	Data: 0.000000
theta_2=0.430000	MC_ns: 0.002060	MC: 0.002060	Data: 0.000000
theta_2=0.450000	MC_ns: 0.006696	MC: 0.006696	Data: 0.000000
theta_2=0.470000	MC_ns: 0.001960	MC: 0.001960	Data: 0.000000
theta_2=0.490000	MC_ns: 0.005880	MC: 0.096789	Data: 0.000000
theta_2=0.510000	MC_ns: 0.002130	MC: 0.002130	Data: 0.000000
theta_2=0.530000	MC_ns: 0.001791	MC: 0.274518	Data: 0.000000
theta_2=0.550000	MC_ns: 0.003729	MC: 0.094638	Data: 0.000000
theta_2=0.570000	MC_ns: 0.001226	MC: 0.001226	Data: 0.000000
theta_2=0.590000	MC_ns: 0.001315	MC: 0.001315	Data: 0.000000
theta_2=0.610000	MC_ns: 0.005079	MC: 0.005079	Data: 0.000000
theta_2=0.630000	MC_ns: 0.003579	MC: 0.094488	Data: 0.000000
theta_2=0.650000	MC_ns: 0.002192	MC: 0.002192	Data: 0.000000
theta_2=0.670000	MC_ns: 0.002354	MC: 0.002354	Data: 0.000000
theta_2=0.690000	MC_ns: 0.003785	MC: 0.003785	Data: 0.000000
theta_2=0.710000	MC_ns: 0.001094	MC: 0.001094	Data: 0.000000
theta_2=0.730000	MC_ns: 0.001309	MC: 0.001309	Data: 0.000000
theta_2=0.750000	MC_ns: 0.000851	MC: 0.000851	Data: 0.000000
theta_2=0.770000	MC_ns: 0.001735	MC: 0.001735	Data: 0.000000
theta_2=0.790000	MC_ns: 0.001771	MC: 0.001771	Data: 0.000000
theta_2=0.810000	MC_ns: 0.003907	MC: 0.003907	Data: 0.000000
theta_2=0.830000	MC_ns: 0.000311	MC: 0.000311	Data: 0.000000
theta_2=0.850000	MC_ns: 0.000992	MC: 0.000992	Data: 0.000000
theta_2=0.870000	MC_ns: 0.001157	MC: 0.001157	Data: 0.000000
theta_2=0.890000	MC_ns: 0.001915	MC: 0.001915	Data: 0.000000
theta_2=0.910000	MC_ns: 0.000439	MC: 0.000439	Data: 0.000000
theta_2=0.930000	MC_ns: 0.000556	MC: 0.000556	Data: 1.000000
theta_2=0.950000	MC_ns: 0.002001	MC: 0.002001	Data: 0.000000
theta_2=0.970000	MC_ns: 0.000879	MC: 0.000879	Data: 0.000000
theta_2=0.990000	MC_ns: 0.000851	MC: 0.000851	Data: 0.000000
