,N,SSIM,MSE
62,4062,0.9399200108455926,0.0003095132415182889
63,4063,0.9388022249230644,0.0003009884967468679
64,4064,0.9375803096180352,0.0003038335416931659
65,4065,0.9364836228547382,0.0002887542359530926
66,4066,0.9356103828559797,0.0002842806570697576
67,4067,0.9341035380787313,0.0002853113110177219
68,4068,0.934217441926173,0.0003005567123182118
69,4069,0.9343639756283815,0.0003293674089945853
70,4070,0.9348735861546312,0.0003315150097478181
71,4071,0.9361016567364971,0.0003092786064371467
72,4072,0.9372952436446118,0.0003079184971284121
73,4073,0.9373033098221722,0.0003952130791731179
74,4074,0.9383649244299822,0.0004666812310460955
75,4075,0.9385298724233447,0.000560623302590102
76,4076,0.938470966651439,0.0006580101908184588
77,4077,0.9388402167130017,0.0006510333041660488
78,4078,0.9393106627427452,0.0006538379238918424
79,4079,0.939128251665704,0.0006618642364628613
80,4080,0.9388727972069212,0.0005978085100650787
81,4081,0.9393779404163041,0.0005011087632738054
82,4082,0.9392210587366586,0.0004490000719670206
83,4083,0.938437818211434,0.0004420288023538888
84,4084,0.9391124268527699,0.0003977971500717103
85,4085,0.93934970376505,0.0003515024145599455
86,4086,0.9387824508819296,0.0003645720717031509
87,4087,0.9391644219738987,0.0003454838588368148
88,4088,0.9394236911860118,0.0003448934876359999
89,4089,0.9393192744565824,0.0003449450596235693
90,4090,0.9389844601575933,0.0003396370739210397
91,4091,0.9398509808379263,0.0003718352818395942
92,4092,0.939555060800222,0.0004006957169622183
93,4093,0.9391203179967497,0.0004152606124989688
94,4094,0.9392476043403869,0.0004762300522997975
95,4095,0.9391008585218907,0.0006052312674000859
96,4096,0.9381907898967736,0.0006023037130944431
97,4097,0.9377753879915992,0.0007299739518202841
98,4098,0.9376352722046998,0.0008073291974142194
99,4099,0.9365828645202108,0.0008010835153982043
100,4100,0.9363066233220007,0.0007456145249307156
101,4101,0.9361980499414884,0.0007272179936990142
102,4102,0.9363856127195799,0.0006290933815762401
103,4103,0.9356845218475004,0.0004407249798532575
104,4104,0.9362571534931707,0.0004558352229651064
105,4105,0.9363061856139062,0.0004812264523934573
106,4106,0.9367785545782324,0.000503402785398066
107,4107,0.9365632230437465,0.0004997749347239733
108,4108,0.9364713443960274,0.0004689011257141829
109,4109,0.936089692978217,0.0004583414120133966
110,4110,0.9356232817231952,0.0004339066799730062
111,4111,0.9353228833959872,0.0004498814814724028
112,4112,0.9351280037332722,0.0004488695994950831
113,4113,0.9343165314904754,0.0004458856419660151
114,4114,0.9343196540326081,0.0004748427600134164
115,4115,0.9340462079874868,0.0004470795975066721
116,4116,0.9340556965932126,0.0004443096404429525
117,4117,0.9339669161916452,0.0004497566260397434
118,4118,0.933616659982699,0.0004159551754128188
119,4119,0.9334429937147768,0.0004316680424381047
120,4120,0.9332794949103991,0.0004311151569709182
121,4121,0.9329328883326172,0.0004292097582947463
122,4122,0.9323431739012453,0.0004382891929708421
123,4123,0.931984061558972,0.0004209178150631487
124,4124,0.932063901898554,0.0004430199624039233
125,4125,0.9317608557979896,0.0004362927284091711
126,4126,0.9314028649072562,0.0004395911237224936
127,4127,0.9309199307873761,0.0004528822901193053
128,4128,0.9307224542198883,0.0004310522635933012
129,4129,0.9306224197553743,0.0004358356236480176
130,4130,0.9300426213719998,0.0004257170367054641
131,4131,0.929626362481863,0.0004188706225249916
132,4132,0.9295629632229512,0.0004216583620291203
133,4133,0.929185016403609,0.0004040701023768634
134,4134,0.9286333341326678,0.0004160340176895261
135,4135,0.9286574216154563,0.0004111821763217449
136,4136,0.9293133164306733,0.0004898403421975672
137,4137,0.9314324494007774,0.0009177153697237372
138,4138,0.9334160284056872,0.00188078498467803
139,4139,0.9348567864329256,0.002662546467036009
140,4140,0.9345211485394288,0.004251749254763126
141,4141,0.9315114804343074,0.006167159415781498
142,4142,0.9267349117799685,0.00802193209528923
143,4143,0.9224456997047153,0.009145127609372139
144,4144,0.9211394691935424,0.009422020986676216
145,4145,0.9207247861612712,0.009255817160010338
146,4146,0.9213836317878438,0.008791052736341953
147,4147,0.9206132052170433,0.009174007922410965
148,4148,0.9241679570197386,0.00833968073129654
149,4149,0.9230621966576663,0.008914239704608917
150,4150,0.92117928286268,0.009383095428347588
151,4151,0.9267561622374451,0.007782630622386932
152,4152,0.9257082578632755,0.008110567927360535
153,4153,0.929552695913417,0.006981902755796909
154,4154,0.9296433485671978,0.006938656326383352
155,4155,0.9250985014041372,0.008191961795091629
156,4156,0.9248571976662899,0.008158125914633274
157,4157,0.924357862011283,0.008189226500689983
158,4158,0.9284675172696556,0.007073093671351671
159,4159,0.9312788664561803,0.00625439640134573
160,4160,0.9301508645672483,0.006520822178572416
161,4161,0.9330531777571252,0.005639169365167618
162,4162,0.9328591736157201,0.005663815885782242
163,4163,0.9309961895361538,0.005945212207734585
164,4164,0.92750376254196,0.006874139420688152
165,4165,0.9204794719106438,0.008417896926403046
166,4166,0.9201396791921672,0.00840409379452467
167,4167,0.9199485861543877,0.00847511738538742
168,4168,0.9196270107842524,0.008466949686408043
169,4169,0.9197558014753988,0.008539360016584396
170,4170,0.9203450086936295,0.008267373777925968
171,4171,0.9195305739700378,0.008379466831684113
172,4172,0.9152072612982112,0.009136075153946877
173,4173,0.9189586760503763,0.008312446996569633
174,4174,0.9196310878336605,0.008401536382734776
